"ID","message","score"
"R/54852c732c36dd8bfd8a1cca56f8e","Let's hook up!","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍","0"
"R/54740e5fe52c1308c113c039de9c7","Lets start a riot","0"
"R/547faea1d56023ce457979c2838aa","I'm utopian princess!! Love me!!!  Please shut the fuck up.","0"
"R/54735f7a6d706b480b6e7b693a6b2","Of course my laptop won't work when I absolutely need it to...","0"
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...","0"
"R/547c17a51dc4d9d7dbed6ce64422e","I like big turtles","0"
"R/547a9c0a2f16d52c27575d8b8544d","Sparkling Grape Juice- they take 2 cups of juice add air then charge $6 for it","0"
"R/54780ed7a302338edc02d1215b136","Townies really doing a poor job in picking up the yak-slack ever since the college kids left ","0"
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...","0"
"R/54758d6befee9e73356f192676b18","Netflix + Cuddling??","0"
"R/5484e873983c73f09c3bbcf258bb8","My breath is so bad no matter what I do. I'm so sorry.","0"
"R/5487abc8db5c87d13caa6b98fe72d","I literally have songs playing in my head 24/7.","0"
"R/54750feed2de1e2e42bf204097857","Lets get cocked!","0"
"R/548bf71ebe118bdccc5c0b4657917","Statesmen was surprisingly good tonight. ","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/5488780d3240250b2fd523b38c44b","If only trivia crack prepared me for my finals... ","0"
"R/54736104cac8e469516092fdd1308","When you're pretty sure that girl can tell every time you yak something about her.","0"
"R/5477cb0845d2e9e02fcf972f4b556","Raise your hand if you're all alone in the meadows 🙋","0"
"R/547f6a9b6ace0e83994daac0792ba","Why was this yak removed? It's absolutely not okay that a cop choked a man to death w/a hold banned by NYPD and not indicted. Period.","0"
"R/5485ffc581c34915de96df3eeab88","If you're blasting music in Courtside stfu. It's finals week and people have shit to do. ","0"
"R/5482bd93a12aa46e1bdcab2bb6ea4","Facebook is Twitter","0"
"R/5474eb68e507c9b0b4ca32f8576fb","Anyone wanna trade a 6:00 westbury bus ticket for a 6:00 huntington bus ticket??","0"
"R/5489dedd6939f5e1e59034984f71d","Finals got me like...YOU KNOW YOU CARE ","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/54719d466c74df70073aa47bbd8b2","Any ladies trying to just chill and cuddle near south side?? :)","0"
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ","0"
"R/5470edc668f7385fad9dc742cfd85","Do gay guys still wanna anal girls? Asking for a friend who's curious and to be honest I am too. ","0"
"R/547e64432310c73ccb79dde12dafe","La cucaracha is about weed. Where do you think roach came from ","0"
"R/54887bbd4f8ab6ded80514bdf1a1e","I used to have a yak score higher than my birth year but then I dropped it in a toilet ","0"
"R/54874e5db59d051f655b0568fae3b","If u wanna fight then fight. If you talk shit on here but don't throw a punch I think most people can agree you're a pussy. I'm not even in DK just amused by the shit talking that nvr gets backed up","0"
"R/54740097899e2a2b69cd0a687a196","Open at Phi Kap bring 5s ","0"
"R/548b8a2f7f4680e11172979ef34af","Whats good with this MAC open???","0"
"R/548be606179e3c30c3fb73498c98d","Lady's Kik me dd.doren","0"
"R/547ddb2d7313d74782dd0e1e556bf","Anyone else having mad problems with the last online quiz for macro with annala. Took it 7 times already still didn't get a 100 😭","0"
"R/548a630e9d50acbb74836bb51cf75","So where are all of the hands up don't steal cigarillos protests at? ","0"
"R/5471828fd306d5f504a5447a63a9e","When your friends cock block to the fullest. ..","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/547ebe4c6c9a371c2fee48b5b5a51","Do lesbians watch straight porn like guys watch lesbian porn?","0"
"R/547c7b45e478bba4370e89614a898","Like this shit ","0"
"R/547b562ab22adc450cfe75a72993b","Is books and bytes open today? ","0"
"R/547f3ad4bee063f376cf2183887f6","Weed for blowjob? #morningwood","0"
"R/5474f1c35a1be3d265c58dd8cf60e","Things at geneseo go miraculously wrong..:","0"
"R/548941f77c3a2a9896f59335f21d1","If anyone wants to talk add me on kik anon5502","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/54807d638291dca99cfbcbcb8254e","No farting in the quiet section of Milne!","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/54810e0a241c834c4d3571d9b106f","I want friends that don't act like they're my mom or my children. Like is that really so fucking much to ask! ","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/5486c3f104c46bd7853817a83a827","GIVE PEACE A CHANCE","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/547bae0bcc094a986e154ee7610ee","What time is Southside open to tn?","0"
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ","0"
"R/54876509a201771c40cd7faf76f52","One day you'll learn that all women are feminists ","0"
"R/5488622612b2afa0b8db3fda816ff","Shotout to Wesp for being a tricky ass mofo on that final.","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/547a4d4bbcc08f67d6c4210a5ad90","4 horny boys in wyoming","0"
"R/54728f2a4fa12922f16b3c5293c17","Life may be scary but it's only temporary!","0"
"R/5489c21c8ca041115051b94b2df74","Listening to Two Steps from Hell on the way to my final. Highly recommended. ","0"
"R/5489f60e2957c5fcab025430afae5","When I'm writing a paper I am always so confident but once I get the grade for it..","0"
"R/54713d10129c7a4df9f7ce45585e2","Idle Hour was crazy last night!","0"
"R/5472bf77da45e028bd176bd84111d","It's times like these I just wanna stop existing","0"
"R/54861b245a84bcedf9508f56e8e83","At least I got a blowjob today","0"
"R/548b03ed0d392a5a502264238a02a","Has anyone else seen their bio 116 grades yet? They aren't updated on mycourses or knightweb","0"
"R/5483d6e53adf200f9716d6c7900f2","Just spiked my Starbucks #yolo ","0"
"R/5481f33a181939283ee57f97e7bed","Would you eat a quarter sized piece of poo for $10000?","0"
"R/548ac6ed9742ebd06ceffbac66007","My eyes are so bloodshot holy shit","0"
"R/548947060f811c6be3ac5346f2293","Any ladies in Ontario wanna get together?","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/54738b09c477c4415ec0a36ca6014","Got those stomach growlies 👷","0"
"R/5481f0214fc14d428182d796692c3","Where is this protest?","0"
"R/5487ba74af391015a66d23c8992a9","*stops everything I'm doing to watch the vs fashion show*","0"
"R/5482c60b161789cf1a168a229f674","Uhots was a bad idea (finished the whole college plate) ","0"
"R/5477e50320fdebe9b288c9ab833f1","Wish I didn't lose all my contacts now I can't text my fuck buddy","0"
"R/54761b549e5588aff25e7c2adea11","Is the library open? I need to print something out. Can't find a computer/printer at the Union lol","0"
"R/5484ade83783a228cd840c8094ea4","Jets playing CBS showing the good wife instead. #fuckrochester","0"
"R/5485d8f429dd6734f22c789cbbf40","I was playing on the teeter totter and all of the sudden i was on the ground..and my knee...hurt!!!","0"
"R/54801620860fcb14ff42dbb480647","When ppl hold the door from 500000 miles @8am and u gotta sprint those 500000 miles @8am <<<<<<<<<<<<","0"
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/5472acd4c51b78a58f199db568194","Arson is a real blast","0"
"R/5482a166c1860358ed5cdb3f0d651","Onion breath","0"
"R/548cc0e46a71a58132b1eec56132f","Wanna fuck tonight girl looking for some dick","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/54713d10129c7a4df9f7ce45585e2","Idle Hour was crazy last night!","0"
"R/54735f7a6d706b480b6e7b693a6b2","Of course my laptop won't work when I absolutely need it to...","0"
"R/54755de547ff68c5a64bfe40a0fe5","Might be stuck here until Thursday 💁🔫","0"
"R/5473d89d63ea5acd74d473b25a804","Is the Stizz open tn ?","0"
"R/548aa5880f8c1b64e1b59e07b2def","You're all pussy complainers","0"
"R/548692b3c84123c040ec67c9b4488","I love the people at this school to pieces i care about yall so much","0"
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?","0"
"R/5470c80202428a8c0b07a30c78aee","This is turning into a relationship...time to jump ship.","0"
"R/5483b2abc0cbd34dc4d449ed9f2f9","Phi Kap won the basketball and football event at the Greek Olympic but nothing else....typical ","0"
"R/547150b97ffcdececed3236cdad5f","Anybody know where the chowhound is?","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/547fe429d1af3fc62f91773297dda","Anyone writing Deutsch's paper right now?","0"
"R/548a3dc45f2e35019abd0e0391556","Comn majors get so upset when you make fun of their major but like you knew what you were getting into when you chose to be a comn major ","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍","0"
"R/5473869e1631d9a712362d61db445","Dub rainbow","0"
"R/5482b712eb962720c5506465dd85e","Any girl on south side wanna come cuddle ","0"
"R/5476113859bff7576ef2fffd3c308","The person who would proof read Hitler's speeches was a.. Grammar Nazi...... lol","0"
"R/547bae0bcc094a986e154ee7610ee","What time is Southside open to tn?","0"
"R/548cd9d1683a285eabe6dc6056c49","tell me your wifi password so I know it's real","0"
"R/54815ccacb839a1c2ddd04662f432","Head 4 head ","0"
"R/54854f68488ecdbddd3fef46e043f","Wutttt free coffee","0"
"R/547e9e8569975641afc831a726c33","Fuck the macro test tomorrow","0"
"R/548bf353c48ae00a982e6a0b76d0b","When you get up at 4 PM and it's 3AM later and you are like Too early to go to bed","0"
"R/548551655c858459b08e38086f5a0","Does it bother anyone else that the food on TV is never actually eaten? Where does it all go why don't they just really eat it instead of pretending?????? ","0"
"R/54838eea646eb8c694ef9dad6ee69","Why is everyone sad on here.. Be happy! ","0"
"R/548bea3373db22e822dbed1ec8493","I can't fucking sleep ","0"
"R/547d2455ec33258c016c4551e4828","Omegle partyyy @geneseo.edu","0"
"R/548a369973b17408b502daeff9a82","Are the kids at Cortland really that fucking stupid?","0"
"R/54888057df32c06feb69e0848474f","So who wants to help me on my theatre final tomorrow? There will be a reward involved.","0"
"R/547ebe4c6c9a371c2fee48b5b5a51","Do lesbians watch straight porn like guys watch lesbian porn?","0"
"R/54780ed7a302338edc02d1215b136","Townies really doing a poor job in picking up the yak-slack ever since the college kids left ","0"
"R/547df77fdd11205a6c492503d29d5","It's called a cruel irony  like my dependence on you","0"
"R/548278c843cf4ec8bfeb0bb842890","Over the past few weeks my one eye has shrunk in size and my eyebrow has shifted down slightly. Why?","0"
"R/5487f5c8e44aa909b7941e40c2658","What should I masturbate to ","0"
"R/5486cf0100401c4285d4f11de2f77","Imagine the joy a stout and firm snow dick would bring to the students of Geneseo","0"
"R/547e05470bffbe4f07da35612ebda","watching Victoria's Secret 2014 during Stats lab going to class isn't a total waste of time anymore.","0"
"R/5476a33f80c005cdf804e2078c670","#whitelivesmatter ","0"
"R/54861464427e37d343046fc0b8318","Why are there never any tables free in Donoghue?!?!","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/548b750aec27b79705017d0637945","When I was in the banking business.....","0"
"R/54722f7921dd82bdf60162ff33109","Is anyone else taking the trailways bus from Geneseo?","0"
"R/547154c790cdf9bcba3bdefb2beea","Free forties outside Zbxi ","0"
"R/5486863321f60bd54e9044850c839","Do girls like top or bottom better?","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/5488929a19b18a55f22ae33a7811b","I'm donezos","0"
"R/5488f633801099610c280906cbb76","Finals r fun and awesome. - Fitzpatrick","0"
"R/54887bbd4f8ab6ded80514bdf1a1e","I used to have a yak score higher than my birth year but then I dropped it in a toilet ","0"
"R/547cec553f16114dba672ea5a709e","Letch is fire tonight ","0"
"R/548278c843cf4ec8bfeb0bb842890","Over the past few weeks my one eye has shrunk in size and my eyebrow has shifted down slightly. Why?","0"
"R/54835ebc0d9b0cc45476085e7971e","Top House👆","0"
"R/548696be9afb364748874bdbb80b4","Geneseo is diverse ","0"
"R/5482a81ed57077e93f59e442da14e","*yak about drunk*","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/547493ace4ea4081d4ffde3a961d4","Burn down Walmart. ","0"
"R/54824fcbab86692808bfd36098233","Does anyone know where chowhound is rn?","0"
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ","0"
"R/5476b759d8839ea3c539eb7b2ee8b","Has anyone ever successfully met up with someone from a yak?","0"
"R/548c6d0bb5ca8eeccc64fd5855ee5","Guys emotions and infatuation are all too confusing for me","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/54887d56d1b6bab2732011b7094d5","The only thing getting me through is the thought of sleeping in my own bed.","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/547a5127d1feb4c6e13ad12054528","Erie is deadddd people come over ","0"
"R/5474bfe3bf6b6115dcb518352d55e","Shout out to my group who put my name on the homework even though I didn't make it to the meeting this time. ","0"
"R/547e596f7889bc44a1ab103e617e9","Sometimes I really think I'd be happier working at wegmans for the rest of my life wtf so great about an office anyway","0"
"R/5484af78718f9cced5503b9758ac6","Anyone in Dr.Stone's intermediate micro class? Check out the homework she just posted. She is out of her fucking mind","0"
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ","0"
"R/5471828fd306d5f504a5447a63a9e","When your friends cock block to the fullest. ..","0"
"R/547bbc38d13e028868d899c359d74","90% sure my shitty suitemates took my room key and hid it on me just to spite me.","0"
"R/547ce26779757baa6442a1c1eea53","anyone from raynor's class want to share what they did their paper on? He approved my topic that had to do with the efficacy of different substance treatments but I feel it became abnormal psych ","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/548551655c858459b08e38086f5a0","Does it bother anyone else that the food on TV is never actually eaten? Where does it all go why don't they just really eat it instead of pretending?????? ","0"
"R/5483628cd6bf86a2b0014ab277c6d","What is formal?","0"
"R/548a8eb712938251bf84285723d81","Better do well on finals. Or else that's gonna be you out there plowing the streets of geneseo in a few years..","0"
"R/54879334d96abf259577bc10ebbf6","Feel like I've been rushing Sigma Alpha Milne recently","0"
"R/547e6519433b3958def6caa677a25","I have to study! ","0"
"R/547369fa86249ea886f250621d13a","This weather is such a tease ","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/547f41e5ab45c63e7141e63193339","I couldn't do it. I was sitting right there on the ISC top floor and I couldn't jump. I wanted to but I couldn't. Now I'm sitting here and I can't even cut myself. I'm afraid of pain","0"
"R/5482a166c1860358ed5cdb3f0d651","Onion breath","0"
"R/547e63db7cabd9b1fca2dcdff8743","It's bullshit that you can only get into phi eta sigma base on your freshman year grades","0"
"R/54739eb669f16e12eb88a7ba16fb3","Live each day like it was your last! ","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/547d043a8d1be35aabe79499838fb","When did yik yak become a place for personal ads for  ppl wanting a SO?","0"
"R/548324cd1112d84f35adcf8ed6f1a","No mother should have to fear for her son's life when he robs a convenience store and assaults a police officer!","0"
"R/548b75af62bf26141574e1ef5c841","Only thing getting me through this final is the case of beer in my fridge ","0"
"R/5474eb9fcc2f1ab4702a4b22fb24f","Dear ResLife  Y'all a bunch of bitches.  Sincerely Everyone","0"
"R/548a65792aa80226850378db9e9af","It hurts but I won't fight you you suck anyways you make me wanna die me to finals. ","0"
"R/5489f60e2957c5fcab025430afae5","When I'm writing a paper I am always so confident but once I get the grade for it..","0"
"R/548585aa333b7a277cc1e03d62f6b","Well that hour went by fast","0"
"R/5485b5727255c06c56309c18cb786","Burr. The wind is bitter out there guys. I recommend a hat and scarf.","0"
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...","0"
"R/54807307ca84557c5505d9bbdfa16","The semester is winding down and yes we are all stressed but we can do this! The holidays and the new year is upon us. Stay positive my friends ","0"
"R/54871a1f5d119c371901127407d27","Should I take humanities next semester? Please reply","0"
"R/547dd5fbd5d813befc3c58067d0b0","Anyone have an extra tube of Chapstick they'd be willing to give away? Sincerely a seriously chapped man.","0"
"R/548154aba9d0e08a3abbcdaf02a9d","Oh my god. Shut the fuck up","0"
"R/548914b0a47110b89d68c94a824a2","AHS. She was unarmed #BlackLivesMatter!!","0"
"R/548c602b97134feaddc8d9bec9041","I love waking up in a soggy puddle of my own piss. Yayyyy college..","0"
"R/5481417d0a7e18f36dfbb97c4265f","What the hell is that noise","0"
"R/54852646deb23a96b09038ca8dbbb","That wonderful and magically feeling after you get told that much to your unhappiness tomorrow is not in fact a study day ","0"
"R/547c0d81ecf54e8d23fe4e317bcbf","I desperately need southside chicken tenders like right now","0"
"R/54751db2488e31a66e80d328e69f8","Whats there to do tn??","0"
"R/547be769adc5b3d8aad664ff447ca","Can someone just wake me up when finals are over ","0"
"R/5482d60a01896cbbac170504ff00b","Fuck is u sayin bitch my hood love me","0"
"R/548bebede16620d6c6d51b222f567","Fuck you","0"
"R/5475daceeea48a3e4792b3359dd74","Dedication is driving to work with a flat tire so you can get to work on time...","0"
"R/547d2455ec33258c016c4551e4828","Omegle partyyy @geneseo.edu","0"
"R/54820b3ba94875420af5775a99586","Let's just appreciate the fact that in America we even have the right to protest or complain about protesting. ","0"
"R/547e5165e52f0d18ce1e251e6f1b0","I'll admit it: I have yellow fever","0"
"R/5484866c1e9cbcdc6a65d86dabf26","My girlfriend just farted while laughing sos","0"
"R/5489c29759e26e3397b333a2ab70d","Boucher said there's no curve. ","0"
"R/5481e2753fcb0d74eea50d9b79701","I wish I had friends that also felt like they got fucked by that Orgo exam too...","0"
"R/54899e6772eb844fc2090fd46cde9","Does anyone know where prof Yokoyama is?","0"
"R/547b6b548d25a3acdaee6f8aae7db","Good to be back at the Geneseo yak ","0"
"R/54758c926f89be7287460f26d07d5","There's not a chance someone is awake and down for cuddles rn yes?","0"
"R/54869cf24f5ee3bd26863af77eb1f","Yo cute single guys? Kik please.","0"
"R/548939b65252377618b9542171dc1","Finals whoremones at an all time high","0"
"R/54805a00918a85e936406eea4788b","What the fuck happened last night ","0"
"R/548bf74467c066a0ded2c581034fe","So girls at the statesmen: how do you want us to approach you? Slowly? Quickly? Ask first? Just start grinding away? Help a guy out here. ","0"
"R/548a93e912e638b81c6181ba8b794","The most fun activity I have assigned is to get someone pumped.","0"
"R/548aa3160456717a712511a39f051","I miss LikeALittle. The Omegle college chat thing just isn't the same.","0"
"R/548739f8c42f2bb7a5d4c50c37c29","Did we go over French neoclassicism in theatre with Boucher?","0"
"R/5487b8bda2b4fb0530bf707fc3d65","Got yellow fever where my sexy aznss @@@","0"
"R/5473b52a2718d6cc078c6ce44ca3b","Okada can suck my dick","0"
"R/54815b37bc58bd77dc5dc02458211","It's 2am. Calm the fuck down. ","0"
"R/5477cb0845d2e9e02fcf972f4b556","Raise your hand if you're all alone in the meadows 🙋","0"
"R/547a5d92ed1cb2c6983018e9e788c","Anyone at Ambassador?","0"
"R/5485e08eef71264a8e430a1f10980","Serious question. What happens if I fail humanities?","0"
"R/548c7524b4c4d287fd6bdea372010","If someone has the need for $5 cash and has meal plan money can you please bring me a hot caramel macchiato with skim milk from Starbucks? I'm in the basement of Milne. ","0"
"R/547ea9087b6142b6df403c1d17bca","Could use a quickie rn. Ladies hmu ","0"
"R/547588ca85d9ef42908d10c5e216e","Who's got weed in this bitch???  ","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/5476a33f80c005cdf804e2078c670","#whitelivesmatter ","0"
"R/54822961b934584d0bbb5079b37e6","✊✊✊✊✊✊","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/5473dc49ca3e001f3a56fbd5e8573","Poop","0"
"R/54894ff89a5f0793b021d9e5523ef","1⃣0⃣0⃣                 🏃","0"
"R/54890bc353d3ce86585b9629d930b","I wonder if chicks have to check all 3 stalls in milne to take a shit","0"
"R/548a8d493128bcdbb9b7b8d74c157","Fuck. I'm so pissed right now","0"
"R/5482bd93a12aa46e1bdcab2bb6ea4","Facebook is Twitter","0"
"R/547a0d3807d6b9bbabca92932a10f","Can't wait to be back at school...the yaks are way better there!","0"
"R/5477e1d630b7d932840c09134ff59","how wanna fuck? (; ","0"
"R/547574da3ecfba2ad79b6c1bc1eec","Will bank street café be open tomorrow?","0"
"R/5476a33f80c005cdf804e2078c670","#whitelivesmatter ","0"
"R/5476031d89bbd31adf21a142ab09e","even yaks in a thanksgiving mood 🍂🍁","0"
"R/5489008156959df6cb0e39b76f7c1","Whoever invented the post final beer..well done sir/madaam...well done. ","0"
"R/547502f1ee605881c4396d6df3a64","Got to get that pre bus shit ","0"
"R/5473869e1631d9a712362d61db445","Dub rainbow","0"
"R/5482481412571d795a7fa90a738fd","Christmas music can turn my day around ","0"
"R/5486a13d8f3f1822a235a965326cd","Dreading going back to Staten Island next week because of all the fucking protestors","0"
"R/548132df93a3d29ecbdb361dc5bf1","I'll be honest I'd lick your butt hole if you'll lick mine","0"
"R/5471f1bf2821257a8cc47405dd3bf","It's 9:30. Why is she still at my house?","0"
"R/5481d15adf415f50012ad754e941f","If I crack a kitchen joke maybe you shouldn't react like I just endorsed the holocaust I respect women and I'm making the joke to make a joke. ","0"
"R/54871a1f5d119c371901127407d27","Should I take humanities next semester? Please reply","0"
"R/548a5f98e7a2ebd4ac9de2651fbf2","New frat: Iota Sigma Iota Sigma","0"
"R/54748a71eb2d80a15df4d076e07a1","Fuck those barbarians burning down a Little Caesars. That's uncalled for","0"
"R/5481d6e1ae8060cfd077e33086cb8","This city's like a pressure cooker turned up to high.","0"
"R/54717607e92439a5d561ad1d9ea85","RLK how was date party? If any of you are lonely I'll fuck you if your date doesn't ","0"
"R/5476d016cbb5682e7ffbcd869d638","Any guys looking to hook up with another guy? ","0"
"R/54828b64d6f670c5cbcf9293e8200","How was everyone's day today","0"
"R/547b3765a454ed70d705fc4e3acad","Any ladies hungry? Brunch is being served at my place *wink","0"
"R/547a86c7d9cf14d5233069a2cd9f5","The airport yaks were bringing back the good ole days of A/S/L ...glad to be home in Geneseo lol","0"
"R/5476b759d8839ea3c539eb7b2ee8b","Has anyone ever successfully met up with someone from a yak?","0"
"R/548693e1f3081e6ac56c3a147df1b","How do you want to die? I want death to take less than a minute from onset but have may a minute or two warning beforehand.","0"
"R/5489046befe78c7bf6ae3fa914b6b","You'd think that it would be common courtesy to know not to masturbate in the floors bathroom but apparently not. ","0"
"R/54838aa1ed454fe61cfd753489745","What are you doing in my swamp","0"
"R/547f99dad7d91b007ba422fae4bf4","I'm sharpening my pencil to write a paper for my english class. Get it!","0"
"R/54769da5e7edc498d68e826985106","Open party at 40 main","0"
"R/5474f1c35a1be3d265c58dd8cf60e","Things at geneseo go miraculously wrong..:","0"
"R/54834b89732412f9f01c7cc48b9f1","Why anyone would leave after a one night stand? Doesn't anyone want morning sex","0"
"R/548981d6648a00ad7bf79d5628d05","Why did I think orgo 3 was a good idea???","0"
"R/547a8b625549f03897aae58d44c2b","Take me back to buff","0"
"R/5485256e935bd4972b86fa9fe6ec6","RAs in livingston don't do shit","0"
"R/547bb0bca89bed9f74793cafa73e9","I don't know what the hell I was thinking when I added that girl with the bf on snap chat. It's like a painful reminder. ","0"
"R/5474eb68e507c9b0b4ca32f8576fb","Anyone wanna trade a 6:00 westbury bus ticket for a 6:00 huntington bus ticket??","0"
"R/547d46aa4d45e840c85a0baafe5a0","Cuz we're not socks ","0"
"R/54800f4a274e136390bc71e6a9705","If CAS came up the idea it probably sucks! ","0"
"R/547bf4e9e309d69932061d10ac71e","Non college yaks suck mad ducks","0"
"R/547154c790cdf9bcba3bdefb2beea","Free forties outside Zbxi ","0"
"R/5488788ca3484b68dfa67d3b6bb25","Is bouchers theater 100 final cumulative? ","0"
"R/5486058753bfe587b5bc95f83fbce","Just saw someone who looks like a caricature of a tired and worn down person...I laughed","0"
"R/548693e1f3081e6ac56c3a147df1b","How do you want to die? I want death to take less than a minute from onset but have may a minute or two warning beforehand.","0"
"R/548345c009e6c37626330ecb00891","formal wasn't a success if your hair isn't a knotted mess in the morning","0"
"R/548072a55f6331912aeb20f1b0e8f","Should I have gone to theatre this morning? I probably could have used the review but it was so early/cold... ","0"
"R/548671d4e547c2afe8db7e54d47e8","What's sad and funny is that none of you even know me. And rather than posting my name on Yik yak how about you post yours? ","0"
"R/5482d44d3641ada11b674f5887aa9","I can already feel the resin just burning away on my throat walls. Tomorrow is going for sure to be a cough day 👌","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/5480d0dcae610c51f20f06eff9aad","Well that plant diversity lab final sucked...","0"
"R/547d1b4bde38c6f5183170334f86b","What channel is the game on?","0"
"R/54750905284900596617090137197","The driver on the westbury bus is the shit 😍","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/5472bdc4e8046cb1ad04c57b3dbd6","I think I've developed multiple personally disorder on yik yak...","0"
"R/54712b22708deea0263d328e64b6e","What should I get from main moon?","0"
"R/548605ca96b9d256ee710ac5bc9ec","Just chugged a bottle of smart water and took an adderall: I'm about to become a superhero","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/547574da3ecfba2ad79b6c1bc1eec","Will bank street café be open tomorrow?","0"
"R/5476373f2e0b1e6fbd10e2ed22df1","Ran up the hill and I can't catch my breath omg","0"
"R/547503f2859b965c4bc71cf45e8a4","CANT STOP THE BUS #GOBBLE","0"
"R/54892f7980920c123bc39066f7352","I wish things could go back to the way they were. ","0"
"R/548ba53f829215b89287406606878","What party should I go to?","0"
"R/548491bfa148aefebe48caa95a11c","Zac Efron makes me wet.","0"
"R/547f9d135db2f0778742e3a6bcb47","No. Not me nor anybody else wants your kik bub.","0"
"R/54761989ee488d1660467638b6784","Kegger at lous","0"
"R/5487f5c8e44aa909b7941e40c2658","What should I masturbate to ","0"
"R/5477e5f1e83c594f69f1acbb50739","I need to get a side bitch before I can worry about getting a main bitch #priorities","0"
"R/548b9b74c492506c74e532168e276","Are there opens at the end of semesters as there are at the beginning of semesters?","0"
"R/548817e9e1d214ccc2de86145773f","Snoring during during the quiet hours is not acceptable. See a fucking doctor if you snore you piece of shit.","0"
"R/547d2241b9163313d8ff00779cde2","Going through yik yak looking for other thirsty yakkers and finding none <<<<<","0"
"R/5472acd4c51b78a58f199db568194","Arson is a real blast","0"
"R/5474b8cd3f419ebcc975749f8241f","RIP Spc. Nethaniel E. Wolfson--Geneseo native in the 82 Airborne Division. Was serving at Fort Bragg NC","0"
"R/5480c00a3a08972b7f3010423d8bb","C'mon it's the last week of class you shouldn't still be kissing the professors ass.","0"
"R/548c8c2f016653fab7aaf59fba829","Anybody find my wallet last night?  ","0"
"R/548145952041a021510eaac22eb25","help a girl out what does one wear to a formal with a fancy dinner? drinking afterwards I assume 💃","0"
"R/547603b89f1d1b0bd9cacab8728f5","Who's at the Union?","0"
"R/54761b549e5588aff25e7c2adea11","Is the library open? I need to print something out. Can't find a computer/printer at the Union lol","0"
"R/548a6f73c40789278b06ff3e61e43","I just wanna get my ass torn apart","0"
"R/54850a6d5d1b00f6910030b9cc75d","I think life might be easier if I was a girl.","0"
